item_id,item_name,item_tier,item_base_rate,item_emoji,item_description,item_cost,item_image
Fae0,Fae Core (Fire),1,100,<a:eenergy:1145534127349706772>,The core harvested from a fire fae spirit. A catalyst of elemental energies.,500,
Fae1,Fae Core (Water),1,100,<a:eenergy:1145534127349706772>,The core harvested from a water fae spirit. A catalyst of elemental energies.,500,
Fae2,Fae Core (Lightning),1,100,<a:eenergy:1145534127349706772>,The core harvested from a lightning fae spirit. A catalyst of elemental energies.,500,
Fae3,Fae Core (Earth),1,100,<a:eenergy:1145534127349706772>,The core harvested from an earth fae spirit. A catalyst of elemental energies.,500,
Fae4,Fae Core (Wind),1,100,<a:eenergy:1145534127349706772>,The core harvested from a wind fae spirit. A catalyst of elemental energies.,500,
Fae5,Fae Core (Ice),1,100,<a:eenergy:1145534127349706772>,The core harvested from an ice fae spirit. A catalyst of elemental energies.,500,
Fae6,Fae Core (Shadow),1,100,<a:eenergy:1145534127349706772>,The core harvested from a shadow fae spirit. A catalyst of elemental energies.,500,
Fae7,Fae Core (Light),1,100,<a:eenergy:1145534127349706772>,The core harvested from a light fae spirit. A catalyst of elemental energies.,500,
Fae8,Fae Core (Celestial),1,100,<a:eenergy:1145534127349706772>,The core harvested from a celestial fae spirit. A catalyst of elemental energies.,500,
i3f,Purgatorial Flame,2,100,<a:eshadow2:1141653468965257216>,Reforges the base stats and ability of a gear item within it's tier.,5000,
i3k,Socket Adder,3,5,<a:elootitem:1144477550379274322>,5% Chance to add a socket to a gear item.,5000,
i4h,Star Hammer,4,75,<:ehammer:1145520259248427069>,75% chance to increase the star rating of an item. Adds an item roll or rerolls one if at capacity.,25000,
i5hP,Pulsar Hammer,5,100,<:ehammer:1145520259248427069>,Rerolls a prefix of a 6 affix gear item.,0,
i5hS,Quasar Hammer,5,100,<:ehammer:1145520259248427069>,Rerolls a suffix of a 6 affix gear item.,0,
i4p,Stellar  Pearl,4,75,<:eprl:1148390531345432647>,75% chance to upgrade the tier of a roll.,50000,
i5l,Astral Heart,5,100,<a:elootitem:1144477550379274322>,Used to evolve Starhammers.,100000,
i4z,Origin Catalyst,4,100,<a:eorigin:1145520263954440313>,Can be infused into an Elemental Origin.,75000,
Origin0,Elemental Origin (Fire),5,50,<a:eorigin:1145520263954440313>,50% chance to add the fire element to a gear item.,0,
Origin1,Elemental Origin (Water),5,50,<a:eorigin:1145520263954440313>,50% chance to add the water element to a gear item.,0,
Origin2,Elemental Origin (Lightning),5,50,<a:eorigin:1145520263954440313>,50% chance to add the lightning element to a gear item.,0,
Origin3,Elemental Origin (Earth),5,50,<a:eorigin:1145520263954440313>,50% chance to add the earth element to a gear item.,0,
Origin4,Elemental Origin (Wind),5,50,<a:eorigin:1145520263954440313>,50% chance to add the wind element to a gear item.,0,
Origin5,Elemental Origin (Ice),5,50,<a:eorigin:1145520263954440313>,50% chance to add the ice element to a gear item.,0,
Origin6,Elemental Origin (Shadow),5,50,<a:eorigin:1145520263954440313>,50% chance to add the shadow element to a gear item.,0,
Origin7,Elemental Origin (Light),5,50,<a:eorigin:1145520263954440313>,50% chance to add the light element to a gear item.,0,
Origin8,Elemental Origin (Celestial),5,50,<a:eorigin:1145520263954440313>,50% chance to add the celestial element to a gear item.,0,
i1o,Crude Ore,1,1,<:eore:1145534835507593236>,Ore with 1% purity. Used to craft shards.,1500,
i2o,Cosmite Ore,2,5,<:eore:1145534835507593236>,Ore with 5% purity. Used to craft shards.,5000,
i3o,Celestite Ore,3,10,<:eore:1145534835507593236>,Ore with 10% purity. Used to craft shards.,10000,
i4o,Crystallite Ore,4,50,<:eore:1145534835507593236>,Ore with 50% purity. Used to craft shards.,35000,
i5o,Heavenly Ore,5,100,<:eore:1145534835507593236>,A 100% purified ore shard. It can be used to reinforce a weapon with better materials.,0,
i1s,Light Soul,1,1,<:esoul:1145520258241806466>,A soul with 1% purity.,1500,
i2s,Luminous Soul,2,5,<:esoul:1145520258241806466>,A soul with 5% purity.,5000,
i3s,Lucent Soul,3,10,<:esoul:1145520258241806466>,A soul with 10% purity.,10000,
i4s,Lustrous Soul,4,50,<:esoul:1145520258241806466>,A soul with 50% purity.,35000,
i5s,Heavenly Soul,5,100,<:esoul:1145520258241806466>,A 100% purified soul. It can be used to bestow a weapon with spiritual energies.,0,
i5v,Void Traces,5,10,<a:evoid:1145520260573827134>,Used for void infusion.,50000,
v6h,Voidhammer,6,100,<a:evoid:1145520260573827134>,Upgrades the star rating of an item to 6. Converts one roll into a void roll. Or reselects if there is already a void roll.,0,
v6p,Void Pearl,6,100,<a:evoid:1145520260573827134>,Created by void infusion with an Astral Pearl. Voidcrafts one item roll bringing it to tier 5.,0,
v7x,Crystallized Void,7,100,<a:evoid:1145520260573827134>,Voidcraft a Tier 6 weapon into a Tier 7 weapon,99999999,
i4w,Unrefined Dragon Wings,4,40,<a:elootitem:1144477550379274322>,Refine for 40% chance to receive base tier 2-4 wings.,10000,
